id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_identity_verified,host_since,instant_bookable,latitude,longitude,name,number_of_reviews,thumbnail_url,zipcode,bedrooms,beds;;;;
6576327,4.605170185988092,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,This is a spacious and bright queen size bedroom. The apt will be share with one of the owner who would mostly be out of the apt,t,f,2017-02-16,f,40.707437073094574,-74.00546797884734,Spacious queen size bedroom,0.0,https://a0.muscache.com/im/pictures/0119ab9b-67b0-4a4f-8ec8-922c70e0365f.jpg?aki_policy=small,10038.0,1.0,1.0;;;;
16722856,4.700480365792417,Apartment,Private room,{},1.0,2.5,Real Bed,flexible,False,LA,Two bedroom townhouse in the heart of Hollywood. You have one parking spot in a gated garage. Your own private master suit with access to common area and private bathroom. You must be clean and quite. Happy and pretty inside and out. ,t,t,2012-10-18,f,34.09808583791186,-118.34484366164094,Cathedral Ceilings and Canyon Views,0.0,https://a0.muscache.com/im/pictures/43538405/11b3a764_original.jpg?aki_policy=small,90046.0,1.0,2.0;;;;
8569066,4.605170185988092,Parking Space,Shared room,{},1.0,,Real Bed,flexible,False,LA,outside parking in open yard. car parking only. grass yard with multiple trees. note: cats on property.,t,f,2012-01-19,f,34.01215649335286,-118.08458917821086,parking space in pico rivera neigbo,0.0,https://a0.muscache.com/im/pictures/3490438/b4521682_original.jpg?aki_policy=small,90660.0,1.0,1.0;;;;
16686337,3.688879454113936,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,NYC,This spacious apartment is two floors with abundant natural light and clean interiors. It is located 4 blocks away from the G train that will take you North /South of Brooklyn and to all major metro lines.,t,t,2015-06-23,f,40.69360301565546,-73.94653231527347,Bed-stuy belle,1.0,https://a0.muscache.com/im/pictures/89004686/6aea5a90_original.jpg?aki_policy=small,11206.0,1.0,1.0;;;;
18584402,4.787491742782046,Apartment,Private room,{},2.0,1.5,Real Bed,flexible,False,LA,Cozy afforable 2 bd apt full house privileges mins to downtown la beaches and mountains too magic mountain 15 min drive.  Relaxing gett away from the city Full house privileges except master bedroom I will be in annd out  Friendly neighbors Plenty of buses and cabs,t,f,2014-10-11,f,34.297760832913106,-118.43402868671627,Cozyy n Afordable place,0.0,https://a0.muscache.com/im/pictures/54262485/46bd6495_original.jpg?aki_policy=small,91340.0,1.0,1.0;;;;
6452132,5.010635294096256,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Fresh accommodations and coffee along with immediate access to public transportation,t,f,2016-10-01,f,33.879736768390835,-118.14662372210536,Backhouse with privacy,0.0,https://a0.muscache.com/im/pictures/a1253de9-1975-45ce-9ad6-c8a59a87d7ea.jpg?aki_policy=small,90706.0,1.0,1.0;;;;
16665977,3.6375861597263857,House,Private room,{},2.0,1.0,Real Bed,strict,True,LA,高贵别致的house､红木沙发､国际富安娜床上用品……｡近有医疗大楼､公园丶大卖场丶超市丶餐馆丶邮局丶银行丶图书馆丶幼儿园等｡方便又安全安静安逸的环境使您有宾至如归感觉!,t,f,2015-12-08,t,33.97635037998782,-117.8892270783021,舒适大雅房,1.0,,91748.0,1.0,1.0;;;;
15680961,5.068904202220232,Bed & Breakfast,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,nice,t,f,2017-02-10,t,37.79243929540055,-122.39381909966478,space,0.0,https://a0.muscache.com/im/pictures/93fec539-4e2f-4da9-8e9e-80890f97c1fb.jpg?aki_policy=small,94105.0,0.0,1.0;;;;
862890,3.688879454113936,House,Private room,{},1.0,1.0,Real Bed,flexible,True,LA,Private room and bath,t,t,2013-12-20,f,34.28555075901281,-118.4961746886446,Beautiful house on the golf course,0.0,,91344.0,1.0,1.0;;;;
3732441,5.1647859739235145,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,In the most exciting City in the world your closest neighbors are the Falcons raccoons of Central Park. Unfettered views from every window. Brilliant sunshine all day. Magical walking Adventures right outside the door to Central Park.,t,t,2011-06-06,t,40.80034374399551,-73.95940654798305,Sunshiney Urban Forest Front,0.0,https://a0.muscache.com/im/pictures/2b630720-77f0-43da-98a4-3a3f00a8ca44.jpg?aki_policy=small,10025.0,1.0,1.0;;;;
4628603,4.605170185988092,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Wonderful for a single professional. Full access to kitchen. Private bedroom and bathroom. ,t,t,2015-01-28,f,34.149716064823735,-118.40483790106876,Great One Bedroom and Private Bath,0.0,https://a0.muscache.com/im/pictures/71986844/5705fdd8_original.jpg?aki_policy=small,91604.0,1.0,1.0;;;;
2368133,4.941642422609304,Apartment,Entire home/apt,{},2.0,1.0,Real Bed,flexible,True,LA,兩套房 可當月子專用 微 號 wendy4562 便利性 Front door,t,t,2015-11-17,f,33.98934047865789,-117.91622848745617,Perfect apartment 孔雀園 Rowland heigh,0.0,https://a0.muscache.com/im/pictures/91bc8cf8-d3cb-4448-9b4d-29ed9fbb034a.jpg?aki_policy=small,91748.0,1.0,1.0;;;;
3713028,6.3818160174060985,Apartment,Entire home/apt,{},4.0,1.0,Real Bed,flexible,False,SF,Its  a large (URL HIDDEN) plaster for u,t,f,2015-12-30,f,37.77556079072304,-122.4201647902634,Welcome for u 5bed,0.0,https://a0.muscache.com/im/pictures/180d7a98-5e30-4374-a6b0-2fc507bf596d.jpg?aki_policy=small,15074.0,1.0,1.0;;;;
4817016,4.382026634673881,Villa,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,美程时光欢迎每一位有缘的朋友入住!,t,f,2017-01-03,f,33.962952724592576,-117.83882090249116,简约温暖的房间,0.0,https://a0.muscache.com/im/pictures/44ab9f98-5472-4626-bfd6-f59c960c2685.jpg?aki_policy=small,91765.0,1.0,1.0;;;;
20915965,6.907755278982138,House,Shared room,{Kitchen},1.0,1.0,Real Bed,flexible,False,Chicago,Dasfdfads,t,f,2017-02-07,f,41.93726317663885,-87.6532253327465,Dfasdfadsf,0.0,https://a0.muscache.com/im/pictures/be319aab-00d6-42fe-b7fd-fe1f0cd8bf7a.jpg?aki_policy=small,60657.0,1.0,1.0;;;;
7651474,4.553876891600541,Apartment,Shared room,{},2.0,1.5,Real Bed,flexible,False,LA,2 bedroom one and a half bath in Gardena next to bars and restaurants,t,t,2016-08-21,f,33.87697578280006,-118.292661075128,Comfortable living in Gardena,0.0,https://a0.muscache.com/im/pictures/cddfa3a1-5c92-4a5d-8395-e39503f1ee7a.jpg?aki_policy=small,90247.0,1.0,1.0;;;;
16025023,5.521460917862246,Apartment,Entire home/apt,{Kitchen},1.0,1.0,Real Bed,flexible,False,NYC,Cosy,t,t,2015-09-09,t,40.76095850956615,-73.95963976820053,Convenient studio,13.0,https://a0.muscache.com/im/pictures/105988335/c460283d_original.jpg?aki_policy=small,10065.0,0.0,1.0;;;;
20002306,5.1647859739235145,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Kitchen and living room access,t,f,2016-10-08,f,33.84145113200726,-118.14752258775108,Small bedroom,0.0,https://a0.muscache.com/im/pictures/235f1d61-a0b2-4328-a533-ef400a304028.jpg?aki_policy=small,90712.0,1.0,1.0;;;;
472376,3.871201010907892,House,Shared room,{},2.0,1.0,Real Bed,strict,True,LA,This is a full size bed in the living room near the French doors to the patio,t,t,2015-09-11,f,34.118207095713025,-118.34402418537192,Sophia's Hollywood Hills Retreat.,2.0,https://a0.muscache.com/im/pictures/c0aaf27d-dc78-4a0e-b3d1-359155558940.jpg?aki_policy=small,90068.0,1.0,1.0;;;;
18460674,5.010635294096256,House,Private room,{},4.0,1.0,Real Bed,flexible,False,LA,A 4 bedroom 2 Bath House 2 minutes from the Long Beach Airport and 2 minutes from the Lakewood mall right off the 405 central location,t,f,2016-10-24,f,33.840361846636235,-118.15575427519516,Cozy Lakewood House,0.0,https://a0.muscache.com/im/pictures/e2c21fbb-8a38-4ce8-8f50-eb3a9962e275.jpg?aki_policy=small,90712.0,1.0,2.0;;;;
9958456,3.8918202981106265,Other,Shared room,{},8.0,1.0,Real Bed,strict,False,LA,WELCOME: Life's a Beach-JOIN US. CENTER OF VENICE BEACH! ALL–YOU–CAN–EAT BREAKFAST!  Relax in room with internet & wi-fi. ALL ROOMS EN SUITE. Enjoy the company of fellow travelers from all over. WOMEN-ONLY & MIXED ROOMS. Let us know: # of women/men. All shared rooms are en suite (their own bathroom). Your bed has a convenience shelf with reading light (underneath) and charging electrical outlet. Your bed has courtesy curtain. There is a cell phone locker to store your important items overnight (only while you are sleeping/in room).  There are additional lockers (school type) in room or in hall if you want to stuff things away (you provide padlock). There is Ethernet in room - you may plug in. There is WI-FI that extends to most rooms. Guests have large commons - meet travelers from all over the world & U.S. There is breakfast provided:  all you can eat waffles / pancakes (make your own); egg & home fries; hot cereal; bread & jam; coffee & tea. Full kitchen:  cook your heart out.  Join ,t,t,2011-10-06,f,33.988704988844674,-118.47152549459337,WOMEN SHARED ROOM in VENICE HOSTEL,11.0,https://a0.muscache.com/im/pictures/82366686/03e7d23b_original.jpg?aki_policy=small,90291.0,1.0,8.0
16932846,4.4998096703302615,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Fresh blankets and blanket's,t,f,2016-09-23,f,33.88719888045197,-118.11435871637455,Spare guest room,0.0,https://a0.muscache.com/im/pictures/12a9db97-328d-4426-a5a0-5e53e0ebf1ca.jpg?aki_policy=small,90706.0,1.0,1.0;;;;
3431378,3.6375861597263857,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Personal bed and couch for the guest!,t,f,2016-10-26,f,34.015522247821195,-118.3983908231116,Culver City Motor Home,0.0,https://a0.muscache.com/im/pictures/b7d5e38d-4ad8-4e02-b910-49af53b48c42.jpg?aki_policy=small,90232.0,1.0,1.0;;;;
17402766,3.7612001156935615,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Couple blocks away from Fox Hills Mall and other entertainment areas,t,f,2016-07-24,f,33.986086972166255,-118.38267067834896,Culver City Apartment complex,0.0,https://a0.muscache.com/im/pictures/30d402ee-f2e4-4cd7-a737-378d92d05365.jpg?aki_policy=small,90230.0,1.0,1.0;;;;
18344448,4.343805421853683,Apartment,Private room,{Essentials},1.0,1.0,Real Bed,flexible,False,SF,test for changing address/ paid photo,t,t,2015-07-11,t,37.77264873195409,-122.40589520753308,Test Listing- Address change and paid photo,0.0,https://a0.muscache.com/im/pictures/3b29d0b9-c33f-4594-89f0-bdf09356d999.jpg?aki_policy=small,94103.0,0.0,1.0;;;;
15744305,4.4998096703302615,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Los Angeles living in beautiful South Central LA,t,f,2016-10-03,f,33.99597902486004,-118.33387681637484,Los Angeles living,0.0,https://a0.muscache.com/im/pictures/bb42df20-62da-44b8-9608-3c1f1ba9b1d8.jpg?aki_policy=small,90043.0,1.0,1.0;;;;
15784603,4.0943445622221,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,On the weekends me and my son are mostly out and we have a spare bedroom in separate wing of the apartment that we don't use and would like to rent out. Email me for more details.,t,f,2015-07-13,f,40.77697191576816,-73.90819840776852,Super sunny and spacious! Privacy!,5.0,https://a0.muscache.com/im/pictures/752a0b62-4e08-421c-b344-db020ab4dc9f.jpg?aki_policy=small,11105.0,1.0,1.0;;;;
610660,2.995732273553992,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Futon couch/bed with remodeled bathroom.,t,f,2016-08-13,f,34.02294502385328,-117.8552907171062,Comfortable Room with Bathroom,0.0,https://a0.muscache.com/im/pictures/0fff64c3-ecb3-4112-a002-393c1b35f0f9.jpg?aki_policy=small,91789.0,1.0,1.0;;;;
10439970,4.787491742782046,Bed & Breakfast,Private room,{},2.0,1.0,Real Bed,flexible,False,DC,Lovely quiet blue room with private bath and closet.   Clawed tub and shower.  In between 2 metro rails stops and active bus line.,t,t,2013-05-01,f,38.93422387977644,-77.02851340541825,Blue Room with Private Bath,0.0,https://a0.muscache.com/im/pictures/31213102/fd0b9ead_original.jpg?aki_policy=small,20010.0,1.0,1.0;;;;
18838712,4.787491742782046,Bed & Breakfast,Private room,{},2.0,1.0,Real Bed,flexible,False,DC,Lovely mauve room with private bath in a great historic home built in 1898.  Walking distance to 2 metro rail stops and active bus line.  Lots of shopping and eating.,t,t,2013-05-01,f,38.93423056992377,-77.02790089998621,Mauve Room-BNB,1.0,https://a0.muscache.com/im/pictures/31276245/8d6fd882_original.jpg?aki_policy=small,20010.0,1.0,1.0;;;;
15040929,5.1647859739235145,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Fresh towels and blankets provided,t,f,2016-10-01,f,33.90185622006952,-118.04377203873194,Private Attic Room,0.0,https://a0.muscache.com/im/pictures/5d2494a4-f8c6-4e2a-ab53-8f5b7e75dd8a.jpg?aki_policy=small,90650.0,1.0,1.0;;;;
20983193,3.80666248977032,House,Entire home/apt,{},1.0,1.0,Real Bed,flexible,False,NYC,Completely clean Close subway station  Kitchen available Is a share room with a very nice guy from Spain Can use all area Close restaurant  Groceries  Stores Subway station  20 min from manhattan 2 blocks from subway station,t,t,2015-07-22,t,40.75363951109031,-73.93311271293365,Amazing share room in astoria,4.0,https://a0.muscache.com/im/pictures/c9cca24b-da73-441d-9925-8fa2ff52008e.jpg?aki_policy=small,11101.0,1.0,1.0;;;;
5499699,4.605170185988092,House,Entire home/apt,{},2.0,1.0,Real Bed,flexible,True,LA,Cozy 1 bedroom house in quiet neighborhood. Nice place to relax and enjoy the succulent garden in the backyard.,t,f,2016-07-08,f,33.79646347177112,-118.27354633950031,Cozy 1 bedroom back house,0.0,,90744.0,1.0,1.0;;;;
11103400,3.4339872044851463,Bed & Breakfast,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,good froor,t,f,2017-04-24,f,33.77066282704631,-118.19468198075776,yichengdongyuan,0.0,https://a0.muscache.com/im/pictures/a6d9f119-da91-4e49-a492-cbc07ffe5b17.jpg?aki_policy=small,90813.0,1.0,1.0;;;;
18175131,3.9318256327243257,Apartment,Shared room,{},2.0,1.0,Real Bed,flexible,False,LA,floor is good daylighting is good,t,f,2017-04-18,t,33.76844818335331,-118.19406426381828,begonia,0.0,https://a0.muscache.com/im/pictures/362919ca-df4b-4616-8dcb-6a77fab0c28c.jpg?aki_policy=small,90802.0,1.0,1.0;;;;
9589030,4.605170185988092,House,Private room,{},2.0,1.0,Real Bed,flexible,False,SF,My boyfriend and I have an extra room downstairs that can fit two people and an extra room on the second floor that can fit one person. We love meeting new people and you will be staying minutes away from public transit.,t,f,2015-01-11,f,37.71143101749916,-122.393519727274,Private bedroom in lovely townhome,0.0,,94134.0,1.0,1.0;;;;
2857464,4.941642422609304,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,LA,Long Beach living next to Whole Foods and the movie theater gotta love it,t,t,2015-11-18,f,33.777929309120395,-118.14684182786448,Long Beach living,0.0,https://a0.muscache.com/im/pictures/73dd139a-be5d-4b87-87a7-5556eb0d2c9f.jpg?aki_policy=small,90804.0,1.0,1.0;;;;
10135104,3.688879454113936,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,My place is a one bedroom very cozy with two dogs so if you're an animal lover it's perfect. You can choose to sleep in the bedroom or living room but I prefer bedroom because it closes and leads to hallway and bathroom privately also the dogs like living room,t,f,2016-08-03,f,34.03806481054709,-118.33375578385564,This is a cozy place for one person,0.0,https://a0.muscache.com/im/pictures/cf3dcd86-a183-452d-bb1f-d6cafe08a3b6.jpg?aki_policy=small,90016.0,1.0,1.0;;;;
1185357,4.330733340286331,Bed & Breakfast,Shared room,{},1.0,0.5,Real Bed,flexible,False,LA,bra bra rent,t,f,2014-08-20,f,34.203465394481576,-118.56018125252314,bra bra rent,0.0,https://a0.muscache.com/im/pictures/7ac67955-f86a-4ef1-a063-e9fe6605caec.jpg?aki_policy=small,91335.0,1.0,1.0;;;;
9063972,4.23410650459726,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Very pretty room in a safe and clean neighborhood. And the house has a garden and parking and very close to to shopping areas and parks and 15 mn away from all centers Pretty place very close to everything and there is bars restaurants parks shopping all around Living room  Tv wifi fridge garden ... Friendly quiet and fun,t,f,2016-06-02,f,34.14378341612468,-118.23409795970731,Nice room in a pretty house,0.0,,91205.0,1.0,1.0;;;;
2021742,3.80666248977032,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,Chicago,The room is perfect for both couples and solo travellers. Master bedroom in a charming garden apartment in a historic Chicago house. Guests would share the family bathroom with one other person who lives in the apartment. Three minute walk to 172 bus which goes to the University of Chicago campus. Also located next to Whole Foods and many other restaurants and shops. Internet access and TV included.,t,f,2015-12-25,f,41.8022472593244,-87.59256060652443,Large & Charming Private Room,1.0,https://a0.muscache.com/im/pictures/c201c533-6920-4b88-9543-de4c45d109dc.jpg?aki_policy=small,60615.0,1.0,1.0;;;;
14935220,4.248495242049359,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,A room with a view of the back yard pool,t,f,2012-12-24,t,34.14210608546661,-118.21075106896306,Spanish villa revival,0.0,,90041.0,1.0,1.0;;;;
11360854,3.80666248977032,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,cas pipeline,t,f,2017-04-29,f,33.77055750049851,-118.19492186969369,jianguo apartment,0.0,https://a0.muscache.com/im/pictures/3d96b475-a8ea-4606-ba57-62de397af23a.jpg?aki_policy=small,90802.0,1.0,1.0;;;;
7619767,4.31748811353631,House,Private room,{},1.0,1.0,Real Bed,flexible,False,DC,Rooms available for rent located in beautiful home in Petworth. Family oriented block surrounded by specialty stores and restaurants! Close to the metro!!,t,f,2015-09-08,f,38.94157268043682,-77.01495060890099,Cozy and Comfortable in Petworth,1.0,https://a0.muscache.com/im/pictures/173286f3-598a-48a2-9597-7ff2ebdd4d7d.jpg?aki_policy=small,20011.0,1.0,1.0;;;;
4720789,4.442651256490317,Bed & Breakfast,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,One bedroom with parking,t,f,2017-01-16,f,34.07889682566501,-118.13890442957384,Amazing master bedroom with parking,0.0,https://a0.muscache.com/im/pictures/ca042119-8aa0-40d4-b1e8-d01886cf1049.jpg?aki_policy=small,91803.0,1.0,1.0;;;;
10478114,3.4657359027997265,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,LA,Comfortable spot open to friendly respectful travelers only. Tv and wifi available any questions ask away!,t,f,2016-09-30,f,33.84224759177953,-118.17542781004794,Cozy Couch open in Long Beach,0.0,,90807.0,1.0,1.0;;;;
55320,5.521460917862246,Loft,Private room,{},1.0,1.0,Real Bed,strict,False,NYC,Lovely room,t,f,2016-10-24,f,40.594917599765175,-73.94995814335451,Lovely room,0.0,https://a0.muscache.com/im/pictures/aeaf12f0-c59d-47a6-9567-e11b86c455dc.jpg?aki_policy=small,11229.0,0.0,1.0;;;;
10802887,4.0943445622221,Dorm,Shared room,{},1.0,1.0,Airbed,flexible,False,SF,Bed in shared dorm,t,f,2013-02-20,f,37.79536130929623,-122.427043599245,Bed in shared dorm,0.0,https://a0.muscache.com/im/pictures/f6ccc05f-88ac-4330-8dee-631767b8e14c.jpg?aki_policy=small,94109.0,1.0,1.0;;;;
5736833,7.438383530044308,Apartment,Private room,{},1.0,1.0,Airbed,flexible,False,NYC,For Carol,t,f,2013-10-29,f,40.72898339677004,-73.98050728400119,Carol,0.0,https://a0.muscache.com/im/pictures/25994425/5886a314_original.jpg?aki_policy=small,10009.0,1.0,1.0;;;;
11319588,5.010635294096256,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Quaint home at the base of the San Gabriel mountains and at the apex of multiple trailheads and hikes!  Would prefer to rent on the weekends but would be open to hosting business oriented individuals during the week.,t,f,2015-07-27,f,34.155234700078005,-117.9934253129173,Small bungalow for couple or family,0.0,https://a0.muscache.com/im/pictures/96230806/a02d3578_original.jpg?aki_policy=small,91016.0,1.0,1.0;;;;
16932674,5.0369526024136295,Apartment,Shared room,{},2.0,1.0,Real Bed,flexible,False,LA,This is a 3bedroom house and you would be renting one of the rooms,t,f,2017-03-17,f,33.88895816690135,-118.12384118096828,Remodeled Home,0.0,https://a0.muscache.com/im/pictures/50f860b4-feb8-4949-bacc-c0601ff86564.jpg?aki_policy=small,90706.0,1.0,1.0;;;;
3291691,5.010635294096256,House,Private room,{},1.0,1.5,Futon,flexible,False,NYC,This is a 3 bedroom home located in a prime area near all shopping and 40 minutes to Manhattan NYC. only clean and responsible who are respectful of others are wanted no smoking is permitted.,t,f,2015-07-04,f,40.61962125565205,-74.0148591342639,cozy and comfortable near all,0.0,https://a0.muscache.com/im/pictures/90862938/31b31251_original.jpg?aki_policy=small,11228.0,1.0,1.0;;;;
1500202,5.010635294096256,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Private room with it's own private bathroom available for rent in house.,t,f,2014-08-17,f,33.99876870168793,-118.4047125696002,Room for Rent for Business Travel,0.0,https://a0.muscache.com/im/pictures/49008369/cada7408_original.jpg?aki_policy=small,90230.0,1.0,1.0;;;;
2632699,4.74493212836325,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Vintage comfortable living in Long Beach,t,t,2016-01-02,f,33.76990263205094,-118.17687808195788,Ready to rest in Long Beach,0.0,https://a0.muscache.com/im/pictures/0db0f2c4-ecca-4b2c-a6ce-498cdaf0e36b.jpg?aki_policy=small,90802.0,1.0,1.0;;;;
13798797,5.521460917862246,Tent,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,This beautiful loft is located in Brooklyn above the legendary bohemian  bar Goodbye Blue Monday. The loft is Three blocks from the train station in a safe neighborhood. Artists are welcome! The outside patio and roof is great place for a barbecue! This unique apartment has been featured in magazines. ,t,f,2014-07-28,f,40.69403439297497,-73.9297301898748,Beautiful artist loft in Brooklyn,0.0,https://a0.muscache.com/im/pictures/46926420/8d17c7a2_original.jpg?aki_policy=small,11221.0,1.0,1.0;;;;
8496270,5.105945473900579,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Large guest bedroom with laundry access. Towels and blankets will be supplied as well.,t,f,2016-10-15,f,33.83254605613702,-118.26751225434742,Large guest bedroom,0.0,https://a0.muscache.com/im/pictures/94ec93d6-e033-4943-87f0-68fc0bcc9dfb.jpg?aki_policy=small,90745.0,1.0,1.0;;;;
7799689,3.49650756146648,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,neat and clean,t,f,2017-04-23,f,33.77087061185558,-118.19311876832886,taiyangxingcheng,0.0,https://a0.muscache.com/im/pictures/c260bc2d-3d67-4f37-a3f7-03cffe5837e7.jpg?aki_policy=small,210.0,1.0,1.0;;;;
18212746,5.703782474656202,Apartment,Entire home/apt,{},2.0,1.0,Real Bed,flexible,False,NYC,Spend Xmas-NYRs 2013 in the nicest 1BR apartment overlooking Central Park/NYC ,t,t,2013-08-17,f,40.7846757527237,-73.97137439504023,Best Central Park/NYC View Apt,0.0,https://a0.muscache.com/im/pictures/27277190/a161137b_original.jpg?aki_policy=small,10024.0,1.0,1.0;;;;
17419253,4.59511985013459,House,Private room,{},2.0,1.0,Real Bed,flexible,True,LA,Comfortable room with true city feeling and quite street. 2 min to bus stop 5 min to restaurants and 10 min to Santa Anita race track in Arcadia.  And shopping mall.,t,f,2015-03-12,t,34.14061351274612,-117.94837719203557,Cozy king size bed with parking.,0.0,https://a0.muscache.com/im/pictures/8711c4f2-ed3d-465e-8d5a-1a97bd0891b3.jpg?aki_policy=small,91010.0,1.0,1.0;;;;
18005200,5.010635294096256,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Fresh accommodations including coffee,t,f,2016-10-01,f,33.82292259450694,-118.2640720542423,Spare room with full house access,0.0,https://a0.muscache.com/im/pictures/73554f58-6232-4d74-a3db-fd989a4d2556.jpg?aki_policy=small,90745.0,1.0,1.0;;;;
10988716,4.941642422609304,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,Long Beach living very comfortable cozy,t,t,2015-06-14,f,33.770059672737354,-118.15151063895632,Long Beach style,0.0,,90814.0,1.0,1.0;;;;
16337294,3.912023005428147,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,True,LA,Crate and barrel comfy couch in Santa Monica.,t,t,2015-08-10,f,34.01975678291383,-118.48999920704736,Comfy couch just blocks from beach,0.0,,90405.0,1.0,1.0;;;;
9297230,4.787491742782046,Apartment,Entire home/apt,{},1.0,1.0,Real Bed,flexible,False,LA,Great place to stay,t,t,2013-01-14,f,34.094481390854874,-118.27408366613555,Apartment in Los Angeles,1.0,https://a0.muscache.com/im/pictures/14bc7c9f-0a2d-46ad-a6b8-ec04c7e0938c.jpg?aki_policy=small,90026.0,1.0,1.0;;;;
13711558,3.737669618283368,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,My place is close to restaurants and dining and nightlife.,t,f,2016-11-28,t,33.90728644864138,-118.2368170209726,Compton CA LIVING ROOM,0.0,https://a0.muscache.com/im/pictures/38627864-56e2-4a2b-b850-ab1cd1f101a3.jpg?aki_policy=small,90222.0,1.0,2.0;;;;
12609202,4.174387269895637,House,Shared room,{},2.0,1.0,Real Bed,flexible,False,NYC,Nice and comfortable bedroom in a safe and quite neighborhood. Walking distance from public transportation.,t,t,2016-04-01,f,40.6998564166487,-73.75473696624843,Charming vantage room,10.0,https://a0.muscache.com/im/pictures/8a6211ae-8fdc-42a5-88e8-5af3c1845608.jpg?aki_policy=small,11412.0,1.0,1.0;;;;
15806622,5.583496308781699,House,Entire home/apt,{Essentials},12.0,4.5,Real Bed,strict,True,NYC,Exclusive big home for vacation,t,f,2017-08-05,f,40.76141468083826,-73.72108729618641,Mansion for vacation,1.0,https://a0.muscache.com/im/pictures/684e019c-a810-4359-80a5-d0aa8dfa3fc3.jpg?aki_policy=small,,7.0,7.0;;;;
19608042,5.298317366548036,Apartment,Entire home/apt,{},2.0,1.5,Real Bed,flexible,True,LA,Beautiful townhouse on historic block in west Hollywood. Tucked away in the back of a charming courtyard. Steps from Chateau Marmont and sunset plaza this location is ideal but feels removed from all of the excitement for when you want to get away but easily accessible.,t,t,2012-06-29,f,34.09441746380412,-118.36820593790377,Historic Hollywood Spanish Townhome,0.0,,90046.0,1.0,1.0;;;;
640128,3.9318256327243257,Apartment,Private room,{},1.0,1.0,Real Bed,strict,True,NYC,1 bedroom available in 6 bedroom artisan apartment at 146th and Broadway. Half a block from the 1 train & riverbank park.,t,f,2012-02-02,f,40.82800011603264,-73.9494929214749,1 bedroom by Riverbank Park,17.0,https://a0.muscache.com/im/pictures/53660089/34f04307_original.jpg?aki_policy=small,10031.0,1.0,1.0;;;;
8885567,5.703782474656202,House,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,Furnished room to rent,t,f,2016-01-29,f,37.74714771778915,-122.49438622560535,Wonderful room in sunset district,0.0,https://a0.muscache.com/im/pictures/c38f4e02-7d72-408c-9dfe-0ab0c85b6439.jpg?aki_policy=small,94116.0,1.0,1.0;;;;
13979095,3.912023005428147,Villa,Private room,{},5.0,2.5,Real Bed,flexible,False,LA,高档美式豪华洋房,t,f,2015-06-30,f,33.995860018928475,-117.93987735389288,美式洋房,2.0,,91745.0,2.0,3.0;;;;
